episode,MSE,MAE
0,60.2890,6.1710
1,59.1354,6.4891
2,50.1392,5.3289
3,54.9830,5.7732
4,45.5800,5.0973
5,50.2467,5.3937
6,53.2131,5.4872
7,56.7557,5.7228
8,50.4627,5.1200
9,45.9069,4.7636
10,43.6324,4.6004
11,48.1817,4.9497
12,50.7950,5.1446
13,48.0956,4.9889
14,49.8134,5.1165
15,50.9251,5.2411
16,48.5714,5.0484
17,48.5110,5.1228
18,49.2681,5.1817
19,47.0003,5.0018
20,47.9630,5.0895
21,46.0533,4.9350
22,44.3757,4.8125
23,42.5449,4.6298
24,41.5830,4.5104
25,40.8600,4.4623
26,39.3467,4.2970
27,39.3679,4.3181
28,38.2289,4.2333
29,39.7892,4.2799
30,42.5561,4.3718
31,41.7995,4.3153
32,40.5426,4.1987
33,40.8383,4.2460
34,40.5127,4.2551
35,41.0058,4.2849
36,40.2001,4.2357
37,39.1422,4.1243
38,39.0619,4.1389
39,38.1914,4.0649
40,37.3061,3.9951
41,36.4291,3.9121
42,37.3216,3.9687
43,39.4865,4.0555
44,38.6090,3.9654
45,37.9877,3.9251
46,98.8089,4.4049
47,98.9466,4.4600
48,98.5212,4.4872
49,96.9241,4.4669
50,98.0625,4.5059
51,98.2078,4.5866
52,97.0771,4.5709
53,95.9286,4.5886
54,94.6092,4.5798
55,92.9667,4.5185
56,91.5955,4.4853
57,91.4717,4.5258
58,91.2725,4.5656
59,90.8059,4.5770
60,89.3929,4.5306
61,88.2735,4.5214
62,87.4727,4.5099
63,86.2476,4.4727
64,85.8404,4.5126
65,84.7695,4.4808
66,83.5376,4.4271
67,85.5980,4.5189
68,84.5009,4.4889
69,83.3679,4.4562
70,85.6282,4.5281
71,84.8536,4.5138
72,83.9695,4.5058
73,82.8386,4.4517
74,81.8749,4.4294
75,81.0337,4.4122
76,80.1410,4.3824
77,79.2133,4.3494
78,79.4496,4.3855
79,78.5074,4.3543
80,79.7320,4.4120
81,78.8990,4.3852
82,78.2184,4.3852
83,79.1237,4.4191
84,81.1725,4.5056
85,80.6000,4.5156
86,79.6759,4.4677
87,79.3224,4.4743
88,78.8379,4.4686
89,77.9858,4.4289
90,77.4860,4.4346
91,80.9550,4.5326
92,80.0845,4.4838
93,79.7014,4.4902
94,78.8770,4.4536
95,78.2204,4.4341
96,77.7254,4.4268
97,78.1107,4.4721
98,77.7423,4.4844
99,77.0457,4.4601
100,76.5903,4.4460
101,75.8432,4.4073
102,75.6314,4.4210
103,75.0899,4.4128
104,74.4762,4.4004
105,73.8016,4.3722
106,74.7836,4.4193
107,74.9172,4.4291
108,75.1553,4.4473
109,74.6033,4.4357
110,74.4075,4.4302
111,74.1958,4.4498
112,73.6180,4.4266
113,73.1184,4.4119
114,72.6804,4.4048
115,72.3186,4.3967
116,72.5667,4.4089
117,72.3215,4.4066
118,71.8229,4.3864
119,71.6541,4.3780
120,71.0627,4.3439
121,70.8627,4.3585
122,70.5229,4.3516
123,69.9863,4.3295
124,71.1163,4.3742
125,70.9520,4.3795
126,70.4334,4.3562
127,69.9455,4.3388
128,69.4896,4.3263
129,69.0051,4.3060
130,69.8376,4.3435
131,70.2934,4.3700
132,71.0107,4.4050
133,72.7544,4.4681
134,74.0258,4.5274
135,73.5069,4.5041
136,73.0163,4.4835
137,72.5386,4.4608
138,72.0771,4.4417
139,72.7662,4.4844
140,72.4158,4.4818
141,71.9215,4.4592
142,72.0372,4.4878
143,72.5363,4.5011
144,72.3790,4.5041
145,71.9112,4.4849
146,71.5485,4.4803
147,71.1905,4.4682
148,70.7987,4.4594
149,70.7311,4.4774
150,70.4106,4.4767
151,70.2239,4.4766
152,69.9639,4.4804
153,70.3747,4.5138
154,71.1574,4.5527
155,70.8695,4.5529
156,71.1648,4.5789
157,70.8132,4.5717
158,71.5356,4.6109
159,71.0970,4.5884
160,70.6790,4.5691
161,71.3302,4.5941
162,70.9110,4.5760
163,70.4944,4.5557
164,70.0789,4.5320
165,70.1691,4.5499
166,69.8309,4.5379
167,69.6548,4.5305
168,69.5205,4.5431
169,69.2794,4.5345
170,69.4616,4.5400
171,69.3926,4.5550
172,69.1363,4.5499
173,69.0336,4.5581
174,69.3370,4.5707
175,69.1026,4.5718
176,68.7124,4.5468
177,68.3693,4.5311
178,68.0991,4.5231
179,67.7234,4.5006
180,67.5662,4.5037
181,69.1309,4.5532
182,69.5491,4.5804
183,69.3057,4.5815
184,69.0083,4.5709
185,68.9607,4.5680
186,68.5919,4.5436
187,68.4360,4.5499
188,68.2743,4.5511
189,69.1158,4.5873
190,68.8656,4.5732
191,68.8603,4.5745
192,68.5127,4.5556
193,68.1732,4.5403
194,67.8911,4.5321
195,68.3075,4.5489
196,68.0193,4.5355
197,67.8272,4.5322
198,67.8472,4.5471
199,67.6395,4.5463
200,67.3211,4.5313
201,67.0923,4.5270
202,66.8366,4.5185
203,66.6163,4.5163
204,66.5594,4.5136
205,66.9223,4.5262
206,66.6386,4.5160
207,66.5858,4.5199
208,66.6079,4.5328
209,66.4264,4.5362
210,66.4175,4.5421
211,66.1721,4.5377
212,66.0049,4.5324
213,65.7718,4.5283
214,65.4821,4.5156
215,65.1962,4.5018
216,65.0246,4.4961
217,64.8544,4.4939
218,64.9759,4.5113
219,64.7530,4.5067
220,64.6014,4.5057
221,64.3429,4.4929
222,64.3613,4.5025
223,64.0919,4.4899
224,63.8930,4.4842
225,63.8117,4.4900
226,63.9454,4.5014
227,63.8174,4.5026
228,63.7527,4.5117
229,64.0587,4.5310
230,63.7814,4.5114
231,63.5136,4.4973
232,63.2678,4.4877
233,63.0539,4.4821
234,62.8766,4.4754
235,62.6102,4.4565
236,62.3468,4.4394
237,62.2588,4.4408
238,62.1620,4.4434
239,62.1027,4.4495
240,63.0176,4.4806
241,62.7591,4.4646
242,63.1755,4.4846
243,62.9450,4.4733
244,62.7849,4.4708
245,62.6676,4.4664
246,62.9543,4.4843
247,62.7165,4.4736
248,63.5680,4.5130
249,63.5582,4.5241
250,63.6342,4.5334
251,63.4007,4.5229
252,63.1696,4.5106
253,63.3794,4.5167
254,63.4598,4.5247
255,63.3939,4.5257
256,64.1282,4.5552
257,64.0497,4.5524
258,64.1144,4.5661
259,64.5771,4.5852
260,64.3602,4.5742
261,64.3697,4.5814
262,64.3039,4.5865
263,64.2306,4.5890
264,64.0375,4.5824
265,64.8388,4.6033
266,64.8924,4.6061
267,65.0535,4.6234
268,64.8306,4.6136
269,64.6499,4.6086
270,64.6931,4.6206
271,64.4655,4.6088
272,64.2319,4.5943
273,64.0957,4.5886
274,63.8683,4.5760
275,64.3774,4.5991
276,65.2288,4.6306
277,64.9971,4.6159
278,64.9600,4.6190
279,64.7280,4.6025
280,64.6384,4.6031
281,64.4156,4.5903
282,64.4836,4.5956
283,64.2946,4.5907
284,64.0690,4.5746
285,63.8450,4.5586
286,63.6876,4.5570
287,63.5066,4.5476
288,63.4032,4.5474
289,63.3017,4.5495
290,63.1299,4.5442
291,62.9239,4.5337
292,62.7138,4.5213
293,62.8384,4.5334
294,62.6254,4.5181
295,63.0029,4.5282
296,62.8597,4.5279
297,62.6487,4.5127
298,62.6779,4.5253
299,62.5157,4.5205
300,62.4226,4.5169
301,62.2883,4.5142
302,62.2393,4.5174
303,62.0517,4.5082
304,62.1337,4.5105
305,62.0114,4.5092
306,62.0356,4.5136
307,61.8965,4.5116
308,61.7364,4.5072
309,61.7472,4.5137
310,61.5779,4.5058
311,61.6307,4.5068
312,61.4387,4.4955
313,61.6753,4.5116
314,61.5673,4.5060
315,61.4039,4.4978
316,61.3274,4.4955
317,61.2104,4.4964
318,61.1368,4.4935
319,60.9987,4.4892
320,60.8137,4.4788
321,60.6328,4.4692
322,60.4491,4.4579
323,60.5584,4.4709
324,60.4354,4.4677
325,60.2509,4.4553
326,60.5936,4.4718
327,60.4241,4.4622
328,60.2852,4.4537
329,60.1046,4.4423
330,60.2272,4.4547
331,60.0806,4.4490
332,59.9551,4.4429
333,59.7849,4.4330
334,59.6230,4.4254
335,59.5511,4.4249
336,59.4509,4.4224
337,59.3840,4.4243
338,59.2366,4.4183
339,59.8650,4.4415
340,59.8808,4.4434
341,60.0939,4.4574
342,59.9886,4.4573
343,59.8861,4.4570
344,60.1816,4.4741
345,60.3963,4.4878
346,60.2476,4.4817
347,60.1286,4.4781
348,59.9835,4.4713
349,59.8683,4.4697
350,59.8180,4.4742
351,60.0812,4.4881
352,60.1583,4.4968
353,60.3643,4.5066
354,60.3822,4.5089
355,60.5790,4.5166
356,60.4139,4.5072
357,60.2638,4.5006
358,60.1094,4.4930
359,60.0667,4.4933
360,59.9044,4.4838
361,59.8092,4.4818
362,59.6769,4.4781
363,59.5134,4.4667
364,60.8388,4.5043
365,60.8882,4.5148
366,60.7499,4.5099
367,60.8344,4.5138
368,60.6728,4.5039
369,61.0086,4.5209
370,60.8454,4.5102
371,60.9507,4.5126
372,60.7873,4.5005
373,60.6620,4.4947
374,65.6026,4.5214
375,65.4826,4.5177
376,65.3429,4.5127
377,65.1743,4.5030
378,65.1667,4.5082
379,65.0544,4.5072
380,65.1612,4.5159
381,65.0570,4.5151
382,64.8967,4.5077
383,64.7484,4.5024
384,64.5818,4.4923
385,64.4151,4.4818
386,64.3267,4.4828
387,64.3926,4.4908
388,64.2949,4.4882
389,64.6052,4.5008
390,64.6674,4.5102
391,64.5236,4.5038
392,64.5532,4.5110
393,64.5051,4.5113
394,64.4883,4.5134
395,64.4364,4.5147
396,64.3588,4.5161
397,64.2528,4.5152
398,64.1241,4.5070
399,63.9638,4.4957
400,64.3248,4.5015
401,64.1648,4.4903
402,64.0946,4.4938
403,63.9381,4.4848
404,63.9963,4.4893
405,63.8410,4.4805
406,63.7078,4.4754
407,63.6558,4.4775
408,63.5220,4.4737
409,63.4387,4.4742
410,63.2970,4.4678
411,63.2548,4.4699
412,63.3602,4.4739
413,63.2264,4.4679
414,63.0830,4.4611
415,63.1540,4.4668
416,63.2869,4.4744
417,63.1478,4.4669
418,63.0632,4.4672
419,62.9740,4.4662
420,63.4612,4.4835
421,63.3412,4.4775
422,63.2020,4.4707
423,63.8071,4.4884
424,63.6570,4.4779
425,63.5377,4.4747
426,63.6048,4.4795
427,63.4709,4.4744
428,63.3454,4.4705
429,63.2141,4.4632
430,63.0737,4.4566
431,62.9608,4.4536
432,62.8291,4.4483
433,62.9746,4.4601
434,62.8902,4.4584
435,62.7672,4.4550
436,62.6833,4.4545
437,62.5905,4.4518
438,62.6080,4.4538
439,62.6214,4.4595
440,62.5276,4.4596
441,62.4734,4.4590
442,62.7996,4.4715
443,62.7031,4.4706
444,62.5906,4.4667
445,62.4751,4.4609
446,62.3359,4.4518
447,62.2088,4.4460
448,62.0860,4.4411
449,62.0012,4.4414
450,61.9325,4.4431
451,61.8106,4.4384
452,61.7232,4.4361
453,61.6089,4.4324
454,61.5030,4.4283
455,61.4536,4.4281
456,61.4118,4.4284
457,61.2777,4.4188
458,61.1849,4.4172
459,61.0873,4.4146
460,61.1569,4.4182
461,61.0245,4.4086
462,60.9617,4.4101
463,60.9784,4.4129
464,60.8874,4.4120
465,60.7740,4.4065
466,60.8206,4.4101
467,60.9362,4.4137
468,60.8221,4.4093
469,60.9915,4.4170
470,60.8638,4.4093
471,60.7869,4.4072
472,60.6696,4.4007
473,60.5418,4.3919
474,60.4440,4.3885
475,60.3257,4.3818
476,60.2637,4.3831
477,60.2774,4.3888
478,60.1550,4.3821
479,60.0302,4.3738
480,60.0871,4.3796
481,60.3148,4.3899
482,60.3686,4.3962
483,60.2566,4.3910
484,60.2087,4.3919
485,60.2336,4.3955
486,60.2080,4.3986
487,60.1495,4.3978
488,60.0674,4.3969
489,59.9448,4.3880
490,59.8227,4.3790
491,59.7120,4.3736
492,59.6069,4.3680
493,59.5658,4.3693
494,59.4668,4.3656
495,59.3488,4.3584
496,59.2328,4.3519
497,59.3234,4.3534
498,59.2086,4.3465
499,59.0992,4.3411
500,59.5448,4.3592
501,59.4395,4.3552
502,59.3788,4.3555
503,59.3396,4.3555
504,59.2518,4.3521
505,59.2040,4.3520
506,59.1032,4.3483
507,58.9882,4.3412
508,58.8855,4.3365
509,58.8108,4.3357
510,58.7445,4.3354
511,58.6370,4.3298
512,58.5359,4.3254
513,58.4631,4.3219
514,58.4353,4.3242
515,58.3771,4.3244
516,58.4890,4.3317
517,58.5948,4.3376
518,58.4991,4.3343
519,59.0067,4.3535
520,59.0945,4.3577
521,59.0878,4.3631
522,59.0343,4.3647
523,58.9852,4.3657
524,58.9054,4.3629
525,58.9213,4.3698
526,58.8478,4.3687
